COUNT,RAW,SKF,TIMETAKEN
628,608.57,609.79,1
629,608.49,609.77,1
630,608.49,609.75,1
631,608.52,609.73,1
632,608.52,609.71,1
633,608.52,609.69,1
634,608.77,609.67,1
635,608.77,609.66,1
636,608.83,609.64,1
637,608.83,609.63,1
638,608.83,609.62,1
639,608.65,609.6,1
640,608.65,609.59,1
641,608.69,609.57,1
642,608.69,609.56,1
643,626.31,609.82,1
644,626.31,610.11,1
645,626.31,610.45,1
646,609.17,610.42,1
647,609.17,610.39,1
648,608.68,610.35,1
649,608.68,610.31,1
650,608.68,610.27,1
651,608.65,610.24,1
652,608.65,610.2,1
653,608.54,610.17,1
654,608.54,610.13,1
655,608.54,610.1,1
656,608.65,610.06,1
657,608.65,610.03,1
658,608.94,610.01,1
659,608.94,609.99,1
660,608.94,609.97,1
661,608.89,609.94,1
662,608.89,609.92,1
663,608.47,609.89,1
664,608.47,609.86,1
665,608.56,609.84,1
666,608.56,609.81,1
667,608.56,609.79,1
668,619.38,609.98,1
669,619.38,610.17,1
670,608.56,610.14,1
671,608.56,610.1,1
672,608.56,610.07,1
673,608.83,610.04,1
674,608.83,610.01,1
675,608.76,609.99,1
676,608.76,609.96,1
677,608.76,609.94,1
678,608.52,609.91,1
679,608.52,609.88,1
680,608.55,609.85,1
681,608.55,609.82,1
682,608.85,609.8,1
683,608.85,609.78,1
684,608.85,609.77,1
685,608.82,609.75,1
686,608.82,609.73,1
687,608.59,609.71,1
688,608.59,609.69,1
689,608.59,609.66,1
690,608.65,609.65,1
691,608.65,609.63,1
692,622.45,609.86,1
693,622.45,610.12,1
694,622.45,610.4,1
695,608.83,610.36,1
696,608.83,610.32,1
697,608.96,610.29,1
698,608.96,610.26,1
699,608.96,610.23,1
700,608.75,610.19,1
701,608.75,610.16,1
702,608.69,610.13,1
703,608.69,610.09,1
704,608.89,610.07,1
705,608.89,610.04,1
706,608.89,610.01,1
707,608.92,609.99,1
708,608.92,609.97,1
709,608.85,609.94,1
710,608.85,609.92,1
711,608.85,609.9,1
712,608.88,609.88,1
713,608.88,609.86,1
714,608.69,609.83,1
715,608.69,609.81,1
716,608.69,609.79,1
717,608.5,609.76,1
718,608.5,609.74,1
