RAW,SKF
607.50,610.06
609.11,610.04
609.11,610.03
609.11,610.01
607.73,609.97
607.73,609.92
608.40,609.90
608.40,609.87
608.40,609.84
611.08,609.86
611.08,609.89
607.57,609.84
607.57,609.80
610.08,609.81
610.08,609.81
610.08,609.82
608.73,609.80
608.73,609.78
608.25,609.75
608.25,609.72
608.25,609.70
607.74,609.67
607.74,609.63
609.47,609.63
609.47,609.63
608.90,609.61
608.90,609.60
608.90,609.59
610.17,609.60
610.17,609.61
607.74,609.58
607.74,609.55
607.74,609.52
613.81,609.59
613.81,609.66
607.71,609.63
607.71,609.59
613.95,609.67
613.95,609.74
613.95,609.82
609.74,609.82
609.74,609.82
609.86,609.82
609.86,609.82
609.86,609.82
608.23,609.79
608.23,609.76
607.86,609.73
607.86,609.70
607.86,609.67
608.64,609.65
608.64,609.64
609.03,609.63
609.03,609.62
609.03,609.61
608.29,609.58
608.29,609.56
609.90,609.57
609.90,609.57
607.66,609.54
607.66,609.51
607.66,609.49
612.19,609.53
612.19,609.57
613.02,609.63
613.02,609.68
613.02,609.74
607.56,609.70
607.56,609.66
608.73,609.65
608.73,609.63
608.73,609.62
614.34,609.70
614.34,609.78
607.94,609.74
607.94,609.71
613.34,609.78
613.34,609.84
613.34,609.90
607.74,609.86
607.74,609.82
608.86,609.81
608.86,609.79
608.86,609.77
607.67,609.73
607.67,609.70
608.39,609.67
608.39,609.65
608.93,609.64
608.93,609.62
608.93,609.61
609.20,609.60
609.20,609.60
609.30,609.59
609.30,609.59
609.30,609.58
614.30,609.66
614.30,609.74
609.56,609.73
609.56,609.73
609.56,609.73
607.77,609.70
607.77,609.66
608.29,609.64
608.29,609.62
608.86,609.61
608.86,609.59
608.86,609.58
613.66,609.65
613.66,609.71
607.71,609.68
607.71,609.65
607.71,609.61
611.65,609.65
611.65,609.68
610.45,609.70
610.45,609.71
608.36,609.69
608.36,609.66
608.36,609.64
611.88,609.68
611.88,609.72
607.48,609.68
607.48,609.64
607.48,609.61
609.36,609.60
609.36,609.60
611.75,609.63
611.75,609.67
611.75,609.70
607.64,609.67
607.64,609.63
610.64,609.65
610.64,609.67
607.50,609.63
607.50,609.60
607.50,609.56
613.83,609.63
613.83,609.71
614.55,609.79
614.55,609.88
614.55,609.96
607.62,609.92
607.62,609.87
607.78,609.83
607.78,609.79
607.78,609.76
610.40,609.77
610.40,609.78
610.24,609.79
610.24,609.80
609.89,609.80
609.89,609.80
609.89,609.80
607.88,609.77
607.88,609.74
607.76,609.70
607.76,609.67
608.26,609.64
608.26,609.62
608.26,609.59
612.82,609.65
612.82,609.71
610.96,609.73
610.96,609.75
609.55,609.75
609.55,609.74
609.55,609.74
608.95,609.73
608.95,609.71
608.50,609.69
608.50,609.67
608.50,609.66
608.24,609.63
608.24,609.61
612.70,609.66
612.70,609.71
607.64,609.68
607.64,609.64
607.64,609.61
609.70,609.61
609.70,609.61
610.80,609.63
610.80,609.65
610.80,609.67
608.97,609.66
608.97,609.65
609.59,609.64
609.59,609.64
609.59,609.64
611.10,609.66
611.10,609.69
609.00,609.68
609.00,609.67
614.14,609.73
614.14,609.80
614.14,609.87
607.89,609.84
607.89,609.80
609.07,609.79
609.07,609.78
609.22,609.77
609.22,609.76
609.22,609.75
610.06,609.76
610.06,609.76
613.62,609.82
613.62,609.88
613.62,609.94
607.82,609.90
607.82,609.87
609.16,609.86
609.16,609.85
609.16,609.84
610.27,609.84
610.27,609.85
608.17,609.82
608.17,609.80
611.59,609.83
611.59,609.85
611.59,609.88
609.18,609.87
609.18,609.86
608.41,609.84
608.41,609.82
608.08,609.79
608.08,609.76
608.08,609.74
609.37,609.73
609.37,609.73
608.86,609.71
608.86,609.70
608.86,609.69
607.91,609.66
607.91,609.64
611.37,609.66
611.37,609.69
611.37,609.71
609.89,609.71
609.89,609.72
607.85,609.69
607.85,609.66
610.06,609.67
610.06,609.67
610.06,609.68
612.60,609.72
612.60,609.76
609.00,609.75
609.00,609.74
609.00,609.73
609.33,609.72
609.33,609.72
607.93,609.69
607.93,609.67
609.51,609.67
609.51,609.66
609.51,609.66
609.20,609.66
609.20,609.65
610.77,609.67
610.77,609.68
610.77,609.69
614.25,609.75
614.25,609.82
607.55,609.78
607.55,609.75
607.55,609.72
609.14,609.71
609.14,609.70
609.24,609.70
609.24,609.69
609.24,609.68
609.17,609.68
609.17,609.67
608.93,609.66
608.93,609.65
607.54,609.62
607.54,609.59
607.54,609.57
608.51,609.55
608.51,609.54
607.85,609.52
607.85,609.49
607.85,609.47
609.01,609.46
609.01,609.46
610.59,609.47
610.59,609.49
610.59,609.50
607.75,609.48
607.75,609.46
609.87,609.46
609.87,609.47
610.77,609.48
610.77,609.50
610.77,609.52
607.55,609.49
607.55,609.47
609.16,609.46
609.16,609.46
615.08,609.53
615.08,609.61
615.08,609.68
608.87,609.67
608.87,609.66
611.92,609.69
611.92,609.73
611.92,609.76
607.60,609.73
607.60,609.69
612.78,609.74
612.78,609.79
612.78,609.83
610.71,609.85
610.71,609.86
609.34,609.85
609.34,609.84
609.92,609.85
609.92,609.85
609.92,609.85
607.73,609.82
607.73,609.79
609.39,609.78
609.39,609.78
609.39,609.77
607.67,609.74
607.67,609.71
607.86,609.68
607.86,609.66
607.86,609.63
614.75,609.71
614.75,609.78
608.09,609.76
608.09,609.73
608.09,609.70
614.67,609.78
614.67,609.86
607.81,609.83
607.81,609.79
607.82,609.76
607.82,609.73
607.82,609.69
608.46,609.67
608.46,609.65
607.84,609.62
607.84,609.59
607.84,609.56
609.44,609.56
609.44,609.56
610.86,609.58
610.86,609.60
610.86,609.62
607.63,609.59
607.63,609.56
610.32,609.57
610.32,609.58
613.76,609.65
613.76,609.72
613.76,609.78
611.91,609.82
611.91,609.86
611.03,609.88
611.03,609.90
611.03,609.92
607.64,609.88
607.64,609.84
608.10,609.81
608.10,609.78
607.95,609.75
607.95,609.72
607.95,609.69
607.99,609.66
607.99,609.63
611.72,609.67
611.72,609.70
611.72,609.74
607.91,609.70
607.91,609.67
609.58,609.67
609.58,609.67
609.58,609.67
609.39,609.66
609.39,609.66
610.77,609.68
610.77,609.70
610.77,609.71
609.47,609.71
609.47,609.71
607.91,609.68
607.91,609.65
608.92,609.64
608.92,609.63
608.92,609.62
611.48,609.65
611.48,609.67
609.44,609.67
609.44,609.67
609.58,609.66
613.90,609.73
613.90,609.79
607.88,609.76
607.88,609.73
609.27,609.72
609.27,609.72
609.27,609.71
614.91,609.79
614.91,609.87
607.93,609.84
607.93,609.81
607.93,609.78
608.51,609.75
608.51,609.73
608.06,609.71
608.06,609.68
608.06,609.66
608.50,609.64
608.50,609.62
609.30,609.61
609.30,609.61
607.86,609.58
607.86,609.56
607.86,609.53
608.54,609.51
608.54,609.50
614.77,609.58
614.77,609.66
614.77,609.75
607.76,609.71
607.76,609.68
608.92,609.67
608.92,609.65
609.50,609.65
609.50,609.65
609.50,609.65
612.91,609.70
612.91,609.75
609.73,609.75
609.73,609.75
607.78,609.72
607.78,609.69
607.78,609.66
609.04,609.65
609.04,609.64
610.20,609.65
610.20,609.65
609.49,609.65
609.49,609.65
609.49,609.65
609.55,609.65
609.55,609.64
607.64,609.62
607.64,609.59
607.64,609.56
609.74,609.56
609.74,609.56
608.47,609.55
608.47,609.53
608.47,609.52
612.00,609.55
612.00,609.59
609.55,609.59
609.55,609.59
609.55,609.59
607.60,609.56
607.60,609.53
609.08,609.52
609.08,609.52
614.09,609.58
614.09,609.65
614.09,609.71
608.27,609.69
608.27,609.67
609.90,609.67
609.90,609.67
609.90,609.68
607.58,609.65
607.58,609.62
608.60,609.60
608.60,609.59
608.60,609.57
614.55,609.64
614.55,609.72
609.10,609.71
609.10,609.70
609.64,609.70
609.64,609.70
609.64,609.70
608.58,609.68
608.58,609.66
609.12,609.66
609.12,609.65
609.12,609.64
609.38,609.64
609.38,609.63
607.58,609.61
607.58,609.58
607.58,609.55
614.01,609.61
614.01,609.68
609.34,609.67
609.34,609.67
609.34,609.66
608.54,609.65
608.54,609.63
610.05,609.64
610.05,609.64
609.13,609.63
609.13,609.63
609.13,609.62
608.23,609.60
608.23,609.58
609.29,609.58
609.29,609.58
609.29,609.57
609.29,609.57
609.29,609.56
610.40,609.58
610.40,609.59
609.76,609.59
609.76,609.59
609.76,609.59
610.66,609.61
610.66,609.62
608.47,609.61
608.47,609.59
608.47,609.58
607.90,609.56
607.90,609.54
607.69,609.51
607.69,609.49
607.69,609.47
607.56,609.44
607.56,609.42
612.25,609.46
612.25,609.49
612.25,609.53
614.35,609.59
614.35,609.66
607.80,609.63
607.80,609.61
613.21,609.66
613.21,609.71
613.21,609.76
609.25,609.75
609.25,609.75
609.09,609.74
609.09,609.73
609.09,609.72
610.45,609.73
610.45,609.74
607.44,609.71
607.44,609.67
609.35,609.67
609.35,609.66
609.35,609.66
607.69,609.63
607.69,609.60
611.90,609.64
611.90,609.67
611.90,609.70
609.86,609.70
609.86,609.71
607.65,609.68
607.65,609.65
609.82,609.65
609.82,609.65
609.82,609.65
607.53,609.63
607.53,609.60
608.19,609.58
608.19,609.56
608.19,609.54
609.16,609.53
609.16,609.53
608.76,609.52
608.76,609.51
609.50,609.51
609.50,609.51
609.50,609.51
609.01,609.50
609.01,609.49
609.70,609.50
609.70,609.50
608.50,609.49
608.50,609.47
608.50,609.46
611.16,609.48
611.16,609.50
608.88,609.50
608.88,609.49
608.88,609.48
611.81,609.51
611.81,609.54
607.65,609.51
607.65,609.49
607.65,609.47
612.33,609.50
612.33,609.54
607.42,609.51
607.42,609.48
611.07,609.51
611.07,609.53
611.07,609.55
621.33,609.71
621.33,609.88
608.94,609.86
608.94,609.85
608.22,609.82
608.22,609.80
608.22,609.77
607.75,609.74
607.75,609.71
610.23,609.71
610.23,609.72
610.23,609.73
610.07,609.74
610.07,609.74
607.46,609.71
607.46,609.67
609.57,609.67
609.57,609.67
609.57,609.67
622.52,609.86
622.52,610.07
614.47,610.15
614.47,610.23
614.47,610.31
614.99,610.40
614.99,610.49
613.47,610.55
613.47,610.61
