PACKET,RAW,SKF
941,609.20,609.65
942,610.77,609.67
943,610.77,609.68
944,610.77,609.69
945,614.25,609.75
946,614.25,609.82
947,607.55,609.78
948,607.55,609.75
949,607.55,609.72
950,609.14,609.71
951,609.14,609.70
952,609.24,609.70
953,609.24,609.69
954,609.24,609.68
955,609.17,609.68
956,609.17,609.67
957,608.93,609.66
958,608.93,609.65
959,607.54,609.62
960,607.54,609.59
961,607.54,609.57
962,608.51,609.55
963,608.51,609.54
964,607.85,609.52
965,607.85,609.49
966,607.85,609.47
967,609.01,609.46
968,609.01,609.46
969,610.59,609.47
970,610.59,609.49
971,610.59,609.50
972,607.75,609.48
973,607.75,609.46
974,609.87,609.46
975,609.87,609.47
976,610.77,609.48
977,610.77,609.50
978,610.77,609.52
979,607.55,609.49
980,607.55,609.47
981,609.16,609.46
982,609.16,609.46
983,615.08,609.53
984,615.08,609.61
985,615.08,609.68
986,608.87,609.67
987,608.87,609.66
988,611.92,609.69
989,611.92,609.73
990,611.92,609.76
991,607.60,609.73
992,607.60,609.69
993,612.78,609.74
994,612.78,609.79
995,612.78,609.83
996,610.71,609.85
997,610.71,609.86
998,609.34,609.85
999,609.34,609.84
1000,609.92,609.85
1001,609.92,609.85
1002,609.92,609.85
1003,607.73,609.82
1004,607.73,609.79
1005,609.39,609.78
1006,609.39,609.78
1007,609.39,609.77
1008,607.67,609.74
1009,607.67,609.71
1010,607.86,609.68
1011,607.86,609.66
1012,607.86,609.63
1013,614.75,609.71
1014,614.75,609.78
1015,608.09,609.76
1016,608.09,609.73
1017,608.09,609.70
1018,614.67,609.78
1019,614.67,609.86
1020,607.81,609.83
1021,607.81,609.79
1022,607.82,609.76
1023,607.82,609.73
1024,607.82,609.69
1025,608.46,609.67
1026,608.46,609.65
1027,607.84,609.62
1028,607.84,609.59
1029,607.84,609.56
1030,609.44,609.56
1031,609.44,609.56
1032,610.86,609.58
1033,610.86,609.60
1034,610.86,609.62
1035,607.63,609.59
1036,607.63,609.56
1037,610.32,609.57
1038,610.32,609.58
1039,613.76,609.65
1040,613.76,609.72
1041,613.76,609.78
1042,611.91,609.82
1043,611.91,609.86
1044,611.03,609.88
1045,611.03,609.90
1046,611.03,609.92
1047,607.64,609.88
1048,607.64,609.84
1049,608.10,609.81
1050,608.10,609.78
1051,607.95,609.75
1052,607.95,609.72
1053,607.95,609.69
1054,607.99,609.66
1055,607.99,609.63
1056,611.72,609.67
1057,611.72,609.70
1058,611.72,609.74
1059,607.91,609.70
1060,607.91,609.67
1061,609.58,609.67
1062,609.58,609.67
1063,609.58,609.67
1064,609.39,609.66
1065,609.39,609.66
1066,610.77,609.68
1067,610.77,609.70
1068,610.77,609.71
1069,609.47,609.71
1070,609.47,609.71
1071,607.91,609.68
1072,607.91,609.65
1073,608.92,609.64
1074,608.92,609.63
1075,608.92,609.62
1076,611.48,609.65
1077,611.48,609.67
1078,609.44,609.67
1079,609.44,609.67
1080,609.58,609.66
1081,613.90,609.73
1082,613.90,609.79
1083,607.88,609.76
1084,607.88,609.73
1085,609.27,609.72
1086,609.27,609.72
1087,609.27,609.71
1088,614.91,609.79
1089,614.91,609.87
1090,607.93,609.84
1091,607.93,609.81
1092,607.93,609.78
1093,608.51,609.75
1094,608.51,609.73
1095,608.06,609.71
1096,608.06,609.68
1097,608.06,609.66
1098,608.50,609.64
1099,608.50,609.62
1100,609.30,609.61
1101,609.30,609.61
1102,607.86,609.58
1103,607.86,609.56
1104,607.86,609.53
1105,608.54,609.51
1106,608.54,609.50
1107,614.77,609.58
1108,614.77,609.66
1109,614.77,609.75
1110,607.76,609.71
1111,607.76,609.68
1112,608.92,609.67
1113,608.92,609.65
1114,609.50,609.65
1115,609.50,609.65
1116,609.50,609.65
1117,612.91,609.70
1118,612.91,609.75
1119,609.73,609.75
1120,609.73,609.75
1121,607.78,609.72
1122,607.78,609.69
1123,607.78,609.66
1124,609.04,609.65
1125,609.04,609.64
1126,610.20,609.65
1127,610.20,609.65
1128,609.49,609.65
1129,609.49,609.65
1130,609.49,609.65
1131,609.55,609.65
1132,609.55,609.64
1133,607.64,609.62
1134,607.64,609.59
1135,607.64,609.56
1136,609.74,609.56
1137,609.74,609.56
1138,608.47,609.55
1139,608.47,609.53
1140,608.47,609.52
1141,612.00,609.55
1142,612.00,609.59
1143,609.55,609.59
1144,609.55,609.59
1145,609.55,609.59
1146,607.60,609.56
1147,607.60,609.53
1148,609.08,609.52
1149,609.08,609.52
1150,614.09,609.58
1151,614.09,609.65
1152,614.09,609.71
1153,608.27,609.69
1154,608.27,609.67
1155,609.90,609.67
1156,609.90,609.67
1157,609.90,609.68
1158,607.58,609.65
1159,607.58,609.62
1160,608.60,609.60
1161,608.60,609.59
1162,608.60,609.57
1163,614.55,609.64
1164,614.55,609.72
1165,609.10,609.71
1166,609.10,609.70
