RAW,SKF,TIMETAKEN
608.92,609.89,1
608.92,609.88,1
608.92,609.86,1
608.82,609.84,1
608.82,609.82,1
609.04,609.81,1
609.04,609.8,1
608.88,609.78,1
608.92,609.77,1
608.92,609.75,1
608.78,609.74,1
608.78,609.72,1
608.71,609.71,1
608.71,609.69,1
608.71,609.68,1
609,609.66,1
609,609.65,1
608.96,609.64,1
608.96,609.63,1
608.96,609.62,1
609.17,609.62,1
609.17,609.61,1
608.98,609.6,1
608.98,609.59,1
608.98,609.58,1
609.09,609.57,1
609.09,609.57,1
609.06,609.56,1
609.06,609.55,1
609.14,609.55,1
609.14,609.54,1
609.14,609.54,1
608.93,609.53,1
608.93,609.52,1
608.95,609.51,1
608.95,609.5,1
608.95,609.5,1
609.3,609.49,1
609.3,609.49,1
609.16,609.49,1
609.16,609.48,1
609.16,609.48,1
609.26,609.48,1
609.26,609.47,1
626.66,609.68,1
626.66,609.92,1
626.66,610.19,1
609.36,610.18,1
609.36,610.16,1
609.1,610.14,1
609.1,610.12,1
608.99,610.1,1
608.99,610.08,1
608.99,610.07,1
609.04,610.05,1
609.04,610.03,1
609.18,610.01,1
609.18,610,1
609.18,609.99,1
609.2,609.97,1
609.2,609.96,1
609.18,609.95,1
609.18,609.93,1
609.18,609.92,1
609.06,609.91,1
609.06,609.9,1
609.28,609.89,1
609.28,609.88,1
609.28,609.87,1
627.39,610.14,1
627.39,610.44,1
609.25,610.42,1
609.25,610.4,1
609.27,610.37,1
609.27,610.35,1
609.27,610.33,1
609.3,610.31,1
609.3,610.29,1
609.3,610.27,1
609.3,610.25,1
609.3,610.23,1
609.3,610.22,1
609.3,610.2,1
609.18,610.18,1
609.18,610.16,1
609.18,610.15,1
609.4,610.13,1
609.4,610.12,1
609.49,610.11,1
609.49,610.1,1
609.26,610.08,1
609.19,610.07,1
609.19,610.05,1
613.89,610.12,1
613.89,610.18,1
609.68,610.17,1
609.68,610.16,1
609.68,610.16,1
609.39,610.14,1
609.39,610.13,1
609.19,610.12,1
609.19,610.1,1
609.19,610.09,1
609.23,610.07,1
609.23,610.06,1
609.05,610.04,1
609.05,610.03,1
609.05,610.01,1
609.33,610,1
609.33,609.99,1
609.06,609.98,1
609.06,609.96,1
609.09,609.95,1
609.09,609.94,1
609.09,609.92,1
609.14,609.91,1
609.14,609.9,1
608.93,609.89,1
608.93,609.87,1
608.93,609.86,1
609.09,609.85,1
609.09,609.84,1
609.21,609.83,1
609.21,609.82,1
609.21,609.81,1
609.41,609.81,1
609.41,609.8,1
609.01,609.79,1
609.01,609.78,1
609.01,609.77,1
608.84,609.76,1
608.84,609.74,1
609.18,609.74,1
609.18,609.73,1
609.13,609.72,1
609.13,609.71,1
609.13,609.71,1
609.03,609.7,1
609.03,609.69,1
609.22,609.68,1
609.22,609.68,1
609.22,609.67,1
609.09,609.66,1
609.09,609.66,1
626.38,609.86,1
626.38,610.09,1
626.38,610.35,1
608.96,610.33,1
608.96,610.3,1
608.95,610.28,1
608.95,610.25,1
608.95,610.23,1
609.11,610.21,1
609.11,610.19,1
608.79,610.17,1
608.79,610.14,1
609.1,610.12,1
609.1,610.11,1
609.1,610.09,1
609.25,610.07,1
609.25,610.06,1
609.11,610.04,1
609.11,610.03,1
609.11,610.01,1
609.1,610,1
609.1,609.98,1
609.31,609.97,1
609.31,609.96,1
609.31,609.95,1
626.94,610.22,1
626.94,610.52,1
609.21,610.5,1
609.21,610.47,1
609.21,610.44,1
609.16,610.42,1
609.16,610.39,1
609.5,610.37,1
609.5,610.36,1
608.92,610.33,1
608.92,610.3,1
608.92,610.28,1
609.09,610.25,1
609.09,610.23,1
609.16,610.21,1
609.16,610.19,1
609.16,610.17,1
609.13,610.15,1
609.13,610.13,1
609.09,610.12,1
609.09,610.1,1
609.09,610.08,1
609.2,610.06,1
609.2,610.05,1
616.57,610.16,1
616.57,610.28,1
616.96,610.4,1
609.38,610.38,1
609.38,610.36,1
609,610.34,1
609,610.31,1
609.02,610.29,1
609.02,610.26,1
609.02,610.24,1
609.11,610.22,1
609.11,610.2,1
609.05,610.18,1
609.05,610.16,1
609.05,610.14,1
608.94,610.11,1
608.94,610.09,1
609.07,610.07,1
609.07,610.06,1
609.07,610.04,1
609.2,610.02,1
609.2,610.01,1
609.29,610,1
609.29,609.99,1
609.12,609.97,1
609.12,609.96,1
609.12,609.94,1
616.34,610.05,1
616.34,610.16,1
609.28,610.14,1
609.28,610.13,1
609.28,610.11,1
609.41,610.1,1
609.41,610.09,1
609.14,610.07,1
609.14,610.05,1
609.14,610.04,1
609.18,610.02,1
609.18,610.01,1
609.22,610,1
609.22,609.99,1
609.22,609.97,1
608.99,609.96,1
608.99,609.94,1
609.05,609.93,1
609.05,609.91,1
609,609.9,2
609,609.89,1
608.94,609.87,2
608.94,609.86,1
619.87,610.01,1
619.87,610.17,1
609.18,610.15,1
609.18,610.14,1
609.18,610.12,1
608.89,610.1,2
608.89,610.08,1
609.05,610.06,1
609.05,610.04,1
609.05,610.03,1
609.21,610.01,1
609.21,610,1
608.72,609.98,1
608.72,609.96,1
608.72,609.94,1
608.91,609.92,1
608.91,609.9,1
609.02,609.89,1
609.02,609.88,1
609.08,609.86,1
609.08,609.85,1
609.08,609.84,1
609.15,609.83,1
609.15,609.82,1
620.64,609.98,1
620.64,610.16,1
620.64,610.35,1
608.95,610.32,1
608.95,610.3,1
608.95,610.27,1
608.95,610.24,1
608.95,610.22,1
608.83,610.19,1
608.83,610.17,1
609.26,610.15,1
