RAW,SKF
607.84,608.10
607.84,608.10
607.84,608.09
607.83,608.09
607.83,608.09
607.94,608.09
607.94,608.09
607.76,608.09
607.76,608.09
607.76,608.08
607.65,608.08
607.65,608.08
607.96,608.08
607.96,608.08
607.96,608.08
607.67,608.08
607.67,608.07
607.93,608.07
607.93,608.07
607.93,608.07
607.80,608.07
607.80,608.07
607.87,608.07
607.87,608.07
607.87,608.07
607.90,608.06
607.90,608.06
607.82,608.06
607.82,608.06
607.79,608.06
607.79,608.06
607.79,608.06
607.74,608.06
607.74,608.05
607.84,608.05
607.84,608.05
607.84,608.05
611.72,608.07
611.72,608.09
607.65,608.09
607.65,608.08
607.65,608.08
