PACKET,RAW,SKF
661,607.67,608.01
662,607.69,608.01
663,607.69,608.01
664,607.89,608.01
665,607.89,608.01
666,607.89,608.01
667,607.98,608.01
668,607.98,608.01
669,608.02,608.01
670,608.02,608.01
671,608.02,608.01
672,607.84,608.01
673,607.84,608.01
674,610.30,608.02
675,610.30,608.03
676,610.30,608.05
677,608.05,608.05
678,608.05,608.05
679,608.00,608.05
680,608.00,608.04
681,607.73,608.04
682,607.73,608.04
683,607.73,608.04
684,607.98,608.04
685,607.98,608.04
686,607.90,608.04
687,607.90,608.04
688,607.90,608.04
689,607.85,608.04
690,607.85,608.03
691,607.91,608.03
692,607.91,608.03
693,607.91,608.03
694,607.92,608.03
695,607.92,608.03
696,607.78,608.03
697,607.78,608.03
698,607.78,608.03
699,612.84,608.05
700,612.84,608.08
701,607.82,608.08
702,607.82,608.08
703,607.71,608.07
704,607.71,608.07
705,607.71,608.07
706,607.81,608.07
707,607.81,608.07
708,607.91,608.07
709,607.91,608.07
710,607.91,608.06
711,607.82,608.06
712,607.82,608.06
713,607.58,608.06
714,607.58,608.06
715,607.58,608.05
716,607.55,608.05
717,607.55,608.05
718,607.73,608.05
719,607.73,608.04
720,607.76,608.04
721,607.76,608.04
722,607.76,608.04
723,612.19,608.06
724,612.19,608.09
725,607.80,608.08
726,607.80,608.08
727,607.80,608.08
728,607.95,608.08
729,607.95,608.08
730,607.78,608.08
731,607.78,608.08
732,607.78,608.07
733,607.84,608.07
734,607.84,608.07
735,607.96,608.07
736,607.96,608.07
737,607.96,608.07
738,607.73,608.07
739,607.73,608.07
740,607.69,608.06
741,607.69,608.06
742,607.63,608.06
743,607.63,608.06
744,607.63,608.05
745,607.72,608.05
746,607.72,608.05
747,607.75,608.05
748,607.75,608.05
749,607.75,608.05
750,607.74,608.04
751,607.74,608.04
752,607.62,608.04
753,607.62,608.04
754,607.62,608.04
755,607.69,608.03
756,607.69,608.03
757,607.48,608.03
758,607.48,608.03
759,607.80,608.03
760,607.80,608.02
761,607.80,608.02
762,607.86,608.02
763,607.86,608.02
764,607.48,608.02
765,607.48,608.02
766,607.48,608.01
767,607.57,608.01
768,607.57,608.01
769,607.51,608.01
770,607.51,608.00
771,607.51,608.00
772,607.55,608.00
773,607.55,608.00
774,611.79,608.02
775,611.79,608.04
776,611.79,608.06
777,607.54,608.05
778,607.54,608.05
779,607.78,608.05
780,607.78,608.05
781,607.45,608.04
782,607.45,608.04
783,607.45,608.04
784,607.61,608.04
785,607.61,608.03
786,607.64,608.03
787,607.64,608.03
788,607.64,608.03
789,607.55,608.02
790,607.55,608.02
791,607.65,608.02
792,607.65,608.02
793,607.65,608.01
794,607.68,608.01
795,607.68,608.01
796,607.53,608.01
797,607.53,608.01
798,607.53,608.00
799,613.67,608.03
800,613.67,608.07
801,607.61,608.06
802,607.61,608.06
803,607.65,608.06
804,607.65,608.06
805,607.65,608.05
806,607.84,608.05
807,607.84,608.05
808,607.63,608.05
809,607.63,608.05
810,607.63,608.04
811,607.55,608.04
812,607.55,608.04
813,607.52,608.03
814,607.52,608.03
815,607.52,608.03
816,607.36,608.02
817,607.36,608.02
818,607.63,608.02
819,607.63,608.02
820,607.65,608.01
821,607.65,608.01
822,607.65,608.01
823,612.20,608.03
824,612.20,608.06
825,607.76,608.06
826,607.76,608.06
827,607.76,608.05
828,607.76,608.05
829,607.76,608.05
830,607.61,608.05
831,607.61,608.05
832,607.61,608.04
833,607.61,608.04
834,607.61,608.04
835,607.78,608.04
836,607.78,608.03
837,607.78,608.03
838,607.69,608.03
839,607.69,608.03
840,607.81,608.03
841,607.81,608.03
842,607.87,608.02
843,607.87,608.02
844,607.87,608.02
845,607.90,608.02
846,607.90,608.02
847,607.81,608.02
848,607.81,608.02
849,607.81,608.02
850,608.00,608.02
851,608.00,608.02
852,607.89,608.02
853,607.89,608.02
854,607.89,608.02
855,607.72,608.01
856,607.72,608.01
857,608.05,608.01
858,608.05,608.01
859,607.69,608.01
860,607.69,608.01
861,607.69,608.01
862,607.72,608.01
863,607.72,608.00
864,608.02,608.00
865,608.02,608.00
866,608.02,608.00
867,607.97,608.00
868,607.97,608.00
869,607.99,608.00
870,607.99,608.00
871,608.00,608.00
872,608.00,608.00
873,608.00,608.00
874,611.00,608.02
875,611.00,608.04
876,607.74,608.03
877,607.74,608.03
878,607.74,608.03
879,607.82,608.03
880,607.82,608.03
881,607.68,608.03
882,607.68,608.02
883,608.02,608.02
884,608.02,608.02
885,608.02,608.02
886,607.61,608.02
887,607.61,608.02
888,607.74,608.02
889,607.74,608.02
890,607.74,608.02
891,607.93,608.01
892,607.93,608.01
893,607.93,608.01
894,607.93,608.01
895,607.93,608.01
896,607.74,608.01
897,607.74,608.01
898,612.55,608.03
899,612.55,608.06
900,612.55,608.08
901,607.92,608.08
902,607.92,608.08
903,607.77,608.08
904,607.77,608.08
